season,player,team,position,G,A,P,+/-,PIM,PPP,SHP,GWG,SOG,FW,HIT,BLK,GP
2023/24,Tyler Bertuzzi,TOR,LW,21,22,43,2,53,0,0,0,160,0,98,44,0
2023/24,Brent Burns,CAR,D,10,33,43,19,20,0,0,0,185,0,41,87,0
2023/24,Daniel Sprong,DET,RW,18,25,43,-5,22,0,0,0,160,0,32,15,0
2023/24,Lawson Crouse,ARI,LW,23,19,42,-7,36,0,0,0,171,0,175,57,0
2023/24,Kirill Marchenko,CBJ,RW,23,19,42,-5,14,0,0,0,193,0,55,39,0
2023/24,Mason McTavish,ANA,C,19,23,42,-23,86,0,0,0,130,0,67,33,0
2023/24,Brandon Saad,STL,LW,26,16,42,-4,20,0,0,0,144,0,17,16,0
2023/24,Moritz Seider,DET,D,9,33,42,-7,51,0,0,0,135,0,211,213,0
2023/24,Shea Theodore,VEG,D,5,37,42,4,6,0,0,0,105,0,9,78,0
2023/24,Anthony Duclair,2TM,LW,24,18,42,-8,34,0,0,0,129,0,49,35,0
2023/24,Anthony Duclair,SJS,LW,16,11,27,-12,28,0,0,0,98,0,35,28,0
2023/24,Anthony Duclair,TBL,LW,8,7,15,4,6,0,0,0,31,0,14,7,0
2023/24,Sam Bennett,FLA,C,20,21,41,17,100,0,0,0,171,0,173,43,0
2023/24,Jakob Chychrun,OTT,D,14,27,41,-30,60,0,0,0,204,0,72,154,0
2023/24,Sean Durzi,ARI,D,9,32,41,-1,63,0,0,0,142,0,44,160,0
2023/24,Warren Foegele,EDM,LW,20,21,41,3,47,0,0,0,201,0,89,32,0
2023/24,Morgan Frost,PHI,C,13,28,41,4,22,0,0,0,135,0,57,55,0
2023/24,Nicolas Roy,VEG,C,13,28,41,8,29,0,0,0,112,0,77,35,0
2023/24,Ryan Strome,ANA,C,11,30,41,-20,86,0,0,0,131,0,64,21,0
2023/24,Eeli Tolvanen,SEA,RW,16,25,41,-15,24,0,0,0,153,0,210,75,0
2023/24,Ross Colton,COL,C,17,23,40,-8,61,0,0,0,146,0,141,46,0
2023/24,Jake DeBrusk,BOS,LW,19,21,40,4,18,0,0,0,183,0,107,48,0
2023/24,Pierre-Luc Dubois,LAK,LW,16,24,40,-9,70,0,0,0,146,0,96,37,0
2023/24,Trent Frederic,BOS,C,18,22,40,9,69,0,0,0,123,0,204,52,0
2023/24,Andrew Mangiapane,CGY,LW,14,26,40,7,47,0,0,0,122,0,89,33,0
2023/24,Marco Rossi,MIN,C,21,19,40,-4,47,0,0,0,167,0,35,37,0
