Player Name,Season,Goals,Assists,Points,Plus/Minus,Penalty Minutes,Power Play Points,Shorthanded Points,Game-Winning Goals,Shots on Goal,Hits,Blocks,Faceoffs Won
Sean Couturier,2023/24,11,27,38,-10,29,7,2,3,192,59,41,692
Jake Neighbours,2023/24,27,11,38,-16,21,14,0,4,145,138,45,11
Cole Perfetti,2023/24,19,19,38,13,12,11,0,3,142,26,23,38
Jake Sanderson,2023/24,10,28,38,8,23,14,0,3,158,49,139,1
James van Riemsdyk,2023/24,11,27,38,7,20,12,0,3,142,34,22,10
Tomáš Hertl,2023/24,17,21,38,-28,22,11,1,2,124,59,49,565
Tomáš Hertl,2023/24,15,19,34,-26,22,9,1,1,113,48,46,506
Tomáš Hertl,2023/24,2,2,4,-2,0,2,0,1,11,11,3,59
Matty Beniers,2023/24,15,22,37,-11,20,13,0,1,133,52,44,527
Nick Foligno,2023/24,17,20,37,-29,57,16,1,0,146,192,39,228
Anders Lee,2023/24,20,17,37,2,68,5,0,2,185,176,54,19
Vladislav Namestnikov,2023/24,11,26,37,17,37,5,1,0,95,92,45,173
Stefan Noesen,2023/24,14,23,37,13,33,11,0,3,111,118,25,46
Rickard Rakell,2023/24,15,22,37,4,22,6,0,2,165,112,40,3
Jaccob Slavin,2023/24,6,31,37,21,8,0,3,1,151,55,120,0
Mason Appleton,2023/24,14,22,36,16,26,2,2,2,122,107,44,9
Danton Heinen,2023/24,17,19,36,16,28,1,1,4,119,83,46,12
Nils Höglander,2023/24,24,12,36,23,51,0,0,5,120,100,19,0
Alex Killorn,2023/24,18,18,36,-15,54,7,0,5,145,72,25,14
Gabriel Vilardi,2023/24,22,14,36,11,14,14,0,5,117,14,24,27
Jason Dickinson,2023/24,22,13,35,4,43,2,0,4,126,143,73,618
Dylan Guenther,2023/24,18,17,35,-1,14,13,2,4,121,32,24,6
Erik Haula,2023/24,16,19,35,-1,54,3,2,2,156,94,49,489
Boone Jenner,2023/24,22,13,35,-8,28,8,1,1,155,119,74,604
Mathieu Joseph,2023/24,11,24,35,-4,51,0,2,3,124,105,49,22
Matthew Knies,2023/24,15,20,35,9,45,2,0,3,115,169,30,0
Adam Lowry,2023/24,12,23,35,17,57,2,2,1,119,181,65,676
Anton Lundell,2023/24,13,22,35,19,46,5,1,2,166,61,40,482
Colton Sissons,2023/24,15,20,35,-6,38,7,4,2,131,137,57,618
Tom Wilson,2023/24,18,17,35,-19,133,10,2,3,169,228,74,22
Artturi Lehkonen,2023/24,16,18,34,11,14,12,0,2,103,49,18,9
Alex Newhook,2023/24,15,19,34,-11,18,8,0,2,85,36,31,229
Nino Niederreiter,2023/24,18,16,34,12,34,4,0,3,170,115,42,26
Dmitri Voronkov,2023/24,18,16,34,-6,52,8,0,2,142,83,48,277
Connor Zary,2023/24,14,20,34,12,22,4,0,3,90,29,29,48
Andrew Copp,2023/24,13,20,33,-2,26,3,3,3,109,33,51,536
Tyson Foerster,2023/24,20,13,33,0,32,8,1,2,167,102,49,1
Yanni Gourde,2023/24,11,22,33,-11,62,2,3,1,156,156,52,519
Connor McMichael,2023/24,18,15,33,-20,34,6,2,3,135,45,39,370
Dawson Mercer,2023/24,20,13,33,-26,29,5,0,2,134,30,43,119
Brandon Montour,2023/24,8,25,33,1,46,17,0,3,168,104,67,0
Drew O'Connor,2023/24,16,17,33,14,20,0,2,2,160,53,58,21
Jean-Gabriel Pageau,2023/24,11,22,33,-8,13,2,6,2,101,196,81,679
Alex Pietrangelo,2023/24,4,29,33,-5,24,9,1,2,141,46,160,0
Neal Pionk,2023/24,5,28,33,9,63,8,0,1,146,221,118,0
Owen Power,2023/24,6,27,33,8,28,6,1,1,108,45,115,0
Darren Raddysh,2023/24,6,27,33,-3,21,7,0,2,101,75,105,0
